Evento,Recinto,Artista,Ciudad,Pais,Fecha de incio,Productora
BZRP Tour,Pabellon Max Schmeling,Bizarrap,BERLIN,ALEMANIA,09-05-20,Nachhaltige Events
Step by Step,City Hall el Rodeo,New Kids on the Block,MEDELLIN,COLOMBIA,28-03-16,Onlygroundmusic
DJs Apoyando a Chile,Teatro Teletón,Afrojack,SANTIAGO,CHILE,11-12-16,Andeschimp spa
AgendaMusic,Sala La Rivera,Becky G,MADRID,ESPAÑA,20-06-18,LetsGo Company
Step by Step,City Hall el Rodeo,New Kids on the Block,MEDELLIN,COLOMBIA,28-03-16,Onlygroundmusic
A7S Show,Barclaycard Arena,A7S,HAMBURG,ALEMANIA,19-12-17,B+D Events
Real Scene,Phoenix Concert Theatre,Big Bang,TORONTO,CANADA,11-09-21,Yataco
Show Forest,Radio City Music Hall,Big Time Rush,NUEVA YORK,ESTADOS UNIDOS,11-04-16,Hartmann Studios
Perfect Specacular Paradise,Estadio Monumental,Alan Walker,SANTIAGO,CHILE,16-06-16,Vision world producciones limitada
Niño Blessi,Bikini Barcelona,DrefQuila,BARCELONA,ESPAÑA,19-04-20,Live Nation
One Night Only,Bilbao Arena,Bee Gees,BILBAO,ESPAÑA,10-08-21,Ibolele Producciones
Super Bass Tour,Warehouse Live,Nicki Minaj,TEXAS,ESTADOS UNIDOS,02-04-22,The Imagos
Twelve Carat Tour,Teatro Mayor,Post Malone,BOGOTA,COLOMBIA,29-05-22,Tyg Eventos y Producciones
Salimo de Noche,Palacio de las Artes,Tiago PZK,VALENCIA,ESPAÑA,30-2-2019,LetsGo Company
Concha Acústica UC 2022,Club Subterraneo,Paloma Mami,SANTIAGO,CHILE,24-10-22,Eventos mudness limitada
Paramore,Niceto Club,Paramore,BUENOS AIRES,ARGENTINA,11-01-17,FEG ENTRETENIMIENTOS
El Alfa Tour,The Brooklyn Monarch,El Alfa,NUEVA YORK,ESTADOS UNIDOS,25-08-19,Event Production Company
Ultra Solo,Niceto Club,Pailita,BUENOS AIRES,ARGENTINA,12-11-21,FMG PRODUCCIONES
BZRP Tour,Pabellon Max Schmeling,Nicki Nicole,BERLIN,ALEMANIA,09-05-20,Nachhaltige Events
El negrito ojos claros,Hipodromo de Palermo,Ozuna,BUENOS AIRES,ARGENTINA,24-08-17,FEG ENTRETENIMIENTOS
Rio Concert,Vivo Rio,Bad Bunny,RIO DE JANEIRO,BRASIL,26-02-16,Agencia 360
Epic Show,Arena TSB Bank,The Martinez Brothers,WELLINGTON,NUEVA ZELANDA,06-05-18,Queenstown Event Company
RUNAWAY,Estadio ANZ,Bon Jovi,SYDNEY,AUTRALIA,07-09-21,Expat
A7S Show,Carrer Baix Vinalopo,A7S,MISLATA,ESPAÑA,06-01-19,Live Nation
S.U.N.O,Cupula Multiespacio,Pablo Chill-E,SANTIAGO,CHILE,21-08-18,DG Medios y espectaculos s.a.
"Young, Dumb and Broke",Trafalgar Centre Paru,Khalid,NELSON,NUEVA ZELANDA,09-06-20,Event Management NZ
Fourplan Event,Olympiahalle,Cris MJ,MUNICH,ALEMANIA,16-08-16,Yataco
Fine Line,Estadio Rose Bowl,Harry Styles,LOS ANGELES,ESTADOS UNIDOS,11-08-22,Live Nation
Heather,Palau Sant Jordi,Conan Gray,BARCELONA,ESPAÑA,01-03-18,Live Nation
Bangerz,Don Haskins Center,Miley Cyrus,TEXAS,ESTADOS UNIDOS,08-12-18,Hartmann Studios
MMM Bop,HISTORY,Hansen,TORONTO,CANADA,14-05-22,Expat
La Ultima Vuelta,Club RBX,Daddy Yankee,SANTIAGO,CHILE,11-12-16,Street machine producciones s.a.
One Night Only,Movistar Arena,Bee Gees,SANTIAGO,CHILE,05-04-19,G & t business group spa
JLo,Club Subterraneo,Jennifer Lopez,SANTIAGO,CHILE,18-02-18,DG Medios y espectaculos s.a.
Papi Juancho,Teatro Municipal de Santiago,Maluma,SANTIAGO,CHILE,18-09-20,DG Medios y espectaculos s.a.
LOS APARATOS,Tarpeian Precinct Lawn,Trueno,SYDNEY,AUTRALIA,12-08-18,YouTOOProject
Same old love,Days Bay Pavilion,Selena Gomez,LOWER HUTT,NUEVA ZELANDA,28-03-20,manatua.nz
Natural,Gran Arena Monticello,Selena Gomez,SANTIAGO,CHILE,07-05-16,Dreams - eventos
Five Day,Arena TSB Bank,Pearl Jam,WELLINGTON,NUEVA ZELANDA,08-07-21,Event Management NZ
Big Time,"Stage Live, Kalea",Big Time Rush,BILBAO,ESPAÑA,07-04-16,Planet Events
Watch out for this,Sala But,Major Lazer,MADRID,ESPAÑA,17-12-19,Planet Events
The Joshua Tree,Luna Park,U2,BUENOS AIRES,ARGENTINA,27-02-20,COMPAÑÍA ARGENTINA DE SUEÑOS
The Real Slim Shady,Club Subterraneo,Eminem,SANTIAGO,CHILE,01-10-20,DG Medios y espectaculos s.a.
RUNAWAY,Estadio ANZ,Bon Jovi,SYDNEY,AUTRALIA,07-09-21,Expat
Le Reve,The Fillmore Philadelphia,Cirque du Solei,PHILADELPHIA,ESTADOS UNIDOS,28-03-17,Live Nation
Everybody,Gran Arena Monticello,Madonna,SANTIAGO,CHILE,21-10-16,DG Medios y espectaculos s.a.
Heather,Teatro Teletón,Conan Gray,SANTIAGO,CHILE,18-01-21,Eventos luis maturana ortega e.i.r.l
JLo,Club Subterraneo,Jennifer Lopez,SANTIAGO,CHILE,18-02-18,DG Medios y espectaculos s.a.
QueenB,Club Providencia,Beyonce,SANTIAGO,CHILE,06-08-19,Casa eventos
BZRP Tour,Pabellon Max Schmeling,Nicki Nicole,BERLIN,ALEMANIA,09-05-20,Nachhaltige Events
Schulz Forever,Arena Ludwingsburg,Robin Schulz,LUDWINGSBURG,ALEMANIA,22-02-17,B+D Events
Eventage Feasts,Luna Park,Doja Cat,BUENOS AIRES,ARGENTINA,09-06-16,ESTADIUM LUNA PARK
Ko Ko Pop,Palau Sant Jordi,EXO,BARCELONA,ESPAÑA,20-04-19,LetsGo Company
Mil Rosas,Mercedes-Benz Arena,La Oreja de Van Gogh,BERLIN,ALEMANIA,29-11-22,Eventveranstalter Hamburg
The After Hours,WIZink Center,The Weeknd,MADRID,ESPAÑA,04-11-21,Planet Events
Maria Becerra,Teatro Municipal de Santiago,Maria Becerra,SANTIAGO,CHILE,10-06-22,Ais producciones
AgendaMusic,Sala La Rivera,Farruko,MADRID,ESPAÑA,20-06-18,LetsGo Company
Mami Tour,Thunder Bay,Paloma Mami,ONTARIO,CANADA,09-07-22,EventsEye
The Joshua Tree,Luna Park,U2,BUENOS AIRES,ARGENTINA,27-02-20,COMPAÑÍA ARGENTINA DE SUEÑOS
Fourplan Mania,Kursaal Oostende,Duncan Laurence,OSTEND,BELGICA,29-04-19,Rove.me
Fourplan Mania,Kursaal Oostende,Duncan Laurence,OSTEND,BELGICA,29-04-19,Rove.me
La Criminal,Club Subterraneo,Natti Natasha,SANTIAGO,CHILE,06-11-19,Glovox producciones limitada
SongKick,SOF Q8 Toinha Brasil,Skrillex,BRASILIA,BRASIL,09-08-20,BRL Eventos
Disney Concert,Estadio Unico Diego Armando Maradona,Justin Bieber,BUENOS AIRES,ARGENTINA,15-03-16,ATOMIC FILMS
Heartbreak Weather,SALA SANTANA,Niall Horan,BILBAO,ESPAÑA,16-06-20,LetsGo Company
WAP,E-Werk,Cardi B,COLOGNE,ALEMANIA,06-03-16,MGC
Bigger than me,Teatro Colon,Louis Tomlinson,BUENOS AIRES,ARGENTINA,29-05-21,PROSPERO PRODUCCIONES
DJs Apoyando a Chile,Teatro Teletón,Hardwell,SANTIAGO,CHILE,11-12-16,Andeschimp spa
Drivers License Tour,ZAG Arena,Olivia Rodrigo,HANOVER,ALEMANIA,17-02-16,MGC
Mil Rosas,Leons Centre,La Oreja de Van Gogh,ONTARIO,CANADA,18-01-18,Eventos Toronto Shaddai
"Young, Dumb and Broke",Teatro Municipal de Santiago,Khalid,SANTIAGO,CHILE,16-09-22,G & t business group spa
Bang Bang,Warehouse Live,Jessie J,TEXAS,ESTADOS UNIDOS,03-02-21,Los Angeles AV Production
Big E Party Moment,Air Canada Centre,New Kids on the Block,TORONTO,CANADA,18-10-20,Eventos Toronto Shaddai
Phoenix Show,Espacio Unimed,Rita Ora,SAO PAULO,BRASIL,08-01-16,Somosfk
S.U.N.O,Cupula Multiespacio,Pablo Chill-E,SANTIAGO,CHILE,21-08-18,DG Medios y espectaculos s.a.
Mil Rosas,Mercedes-Benz Arena,La Oreja de Van Gogh,BERLIN,ALEMANIA,29-11-22,Eventveranstalter Hamburg
Oh How,La Madeleine,Eagles,BRUSELAS,BELGICA,10-09-21,Xceed
I Aint Worried,Luna Park,One Republic,BUENOS AIRES,ARGENTINA,15-05-21,ESTADIUM LUNA PARK
How do you sleep,Teatro Municipal de Santiago,Sam Smith,SANTIAGO,CHILE,14-09-22,Lotus producciones limitada
DISCOTEKA,Independance Club,Lola Indigo,MADRID,ESPAÑA,30/2/2021,IndyRock
Niño Blessi,SOF Q8 Toinha Brasil,DrefQuila,BRASILIA,BRASIL,08-09-19,Urban Music
Concha Acústica UC 2022,Club Subterraneo,Jordan 23,SANTIAGO,CHILE,24-10-22,Eventos mudness limitada
Disney Concert,Estadio Unico Diego Armando Maradona,Olivia Rodrigo,BUENOS AIRES,ARGENTINA,15-03-16,ATOMIC FILMS
Bigger than me,Estadio ANZ,Louis Tomlinson,SYDNEY,AUTRALIA,28-07-19,CMG Audio Visual
CARAVANA,Don Haskins Center,Wos,TEXAS,ESTADOS UNIDOS,05-01-19,Event Production Company
I Used to Think I could Fly,Salitre Magico,Tate McRae,BOGOTA,COLOMBIA,23-10-19,Sinstress Eventos
Roads Time,Columbianhalle,Daft Punk,BERLIN,ALEMANIA,06-02-20,Europages
I Aint Worried,Estadio Monumental,One Republic,BUENOS AIRES,ARGENTINA,01-12-19,K PRODUCCIONES S.A.
FULL PIOLI,Estadio Rose Bowl,Pablo Chill-E,LOS ANGELES,ESTADOS UNIDOS,13-07-17,Revelation
Oh How,La Madeleine,Eagles,BRUSELAS,BELGICA,10-09-21,Xceed
Rio Concert,Vivo Rio,Justin Bieber,RIO DE JANEIRO,BRASIL,26-02-16,Agencia 360
Lali Esposito: The Show,Days Bay Pavilion,Lali Esposito,LOWER HUTT,NUEVA ZELANDA,03-03-21,Leading Event Agency
Tomorrow Never Knows,Studio The Venue,The Beatles,AUCKLAND,NUEVA ZELANDA,07-03-20,Ethno Nueva Zelanda
I Used to Think I could Fly,Salitre Magico,Tate McRae,BOGOTA,COLOMBIA,23-10-19,Sinstress Eventos
MMM Bop,Wilterm Theatre,Hansen,LOS ANGELES,ESTADOS UNIDOS,16-08-17,Live Nation
Seize The Day,Thunder Bay,My Chemical Romance,ONTARIO,CANADA,08-09-22,EventsEye
CLARITY,Estadio Nacional,Robin Schulz,SANTIAGO,CHILE,17-08-18,DG Medios y espectaculos s.a.
MMM Bop,Wilterm Theatre,Hansen,LOS ANGELES,ESTADOS UNIDOS,16-08-17,Live Nation
MMM Bop,HISTORY,Hansen,TORONTO,CANADA,14-05-22,Expat
Bigger than me,Metropol,Louis Tomlinson,BERLIN,ALEMANIA,01-06-20,Europages
Mil Rosas,City Hall el Rodeo,La Oreja de Van Gogh,MEDELLIN,COLOMBIA,03-03-16,Animationphoenix
Lively And Supreme,Quinta Vergara,Armin Van Buuren,VIÑA DEL MAR,CHILE,30-08-18,G & t business group spa
Mami Tour,Columbianhalle,Paloma Mami,BERLIN,ALEMANIA,19-12-22,Nachhaltige Events
Papi Juancho,Estadio Rose Bowl,Maluma,LOS ANGELES,ESTADOS UNIDOS,17-07-22,Horwath Productions INC.
The After Hours,Teatro Caupolicán,The Weeknd,SANTIAGO,CHILE,08-05-18,Apparcel producciones limitada
Belinda Comeback,E-Werk,Belinda,COLOGNE,ALEMANIA,30-01-16,Europages
One Night Only,Movistar Arena,Bee Gees,SANTIAGO,CHILE,05-04-19,G & t business group spa
Big E Party Moment,Air Canada Centre,New Kids on the Block,TORONTO,CANADA,18-10-20,Eventos Toronto Shaddai
DJs Apoyando a Chile,Teatro Teletón,Afrojack,SANTIAGO,CHILE,11-12-16,Andeschimp spa
Kill my mind,La Madeleine,Louis Tomlinson,BRUSELAS,BELGICA,28-01-17,Xceed
Reputation,Raley Field,Taylor Swift,SACRAMENTO,ESTADOS UNIDOS,30-03-16,Live Nation
Dangerous Woman,Niceto Club,Ariana Grande,BUENOS AIRES,ARGENTINA,22-07-21,Ramasso Productora
Alpha Eventalist,Estadio Bicentario de La Florida,Duncan Laurence,SANTIAGO,CHILE,15-10-21,DG Medios y espectaculos s.a.
How do you sleep,Teatro Municipal de Santiago,Sam Smith,SANTIAGO,CHILE,14-09-22,Lotus producciones limitada
Natural,Gran Arena Monticello,Selena Gomez,SANTIAGO,CHILE,07-05-16,Dreams - eventos
CLARITY,Estadio Nacional,Zedd,SANTIAGO,CHILE,17-08-18,DG Medios y espectaculos s.a.
Anastasia,Teatro Cariola,Cami,SANTIAGO,CHILE,19-07-19,G & t business group spa
El negrito ojos claros,Hipodromo de Palermo,Ozuna,BUENOS AIRES,ARGENTINA,24-08-17,FEG ENTRETENIMIENTOS
Quedate,Mercedes-Benz Arena,Quevedo,BERLIN,ALEMANIA,19-01-22,Eventveranstalter Hamburg
La Ultima Mision,Estadio Rose Bowl,Wisin & Yandel,LOS ANGELES,ESTADOS UNIDOS,12-08-17,CSI DMC
El amor despues del amor,Aotea Centre,Fito Paez,AUCKLAND,NUEVA ZELANDA,05-01-21,Lets Dance
One Vision of Queen,Teatro Gran Rex,Queen,BUENOS AIRES,ARGENTINA,24-07-20,FMG PRODUCCIONES
Disney Concert,Estadio Unico Diego Armando Maradona,Selena Gomez,BUENOS AIRES,ARGENTINA,15-03-16,ATOMIC FILMS
Schulz Forever,La Marina de Valencia,Robin Schulz,VALENCIA,ESPAÑA,22-03-22,Live Nation
Disney Concert,Estadio Unico Diego Armando Maradona,Jonas Brothers,BUENOS AIRES,ARGENTINA,15-03-16,ATOMIC FILMS
Dangerous Woman,Niceto Club,Ariana Grande,BUENOS AIRES,ARGENTINA,22-07-21,Ramasso Productora
R3hab live show,Velodromo de Berlin,R3hab,BERLIN,ALEMANIA,19-09-22,KahnEvents GmbH
Ultra Solo,Niceto Club,Pailita,BUENOS AIRES,ARGENTINA,12-11-21,FMG PRODUCCIONES
Young Flex,Estadio de Futbol Atanasio Girardot,Khea,MEDELLIN,COLOMBIA,04-09-18,Rocko Saroni Eventos
Ko Ko Pop,Palau Sant Jordi,EXO,BARCELONA,ESPAÑA,20-04-19,LetsGo Company
How do you sleep,Teatro Municipal de Santiago,San Smith,SANTIAGO,CHILE,25-09-21,Time for fun (t4f)
CLARITY,Estadio Nacional,Diplo,SANTIAGO,CHILE,17-08-18,DG Medios y espectaculos s.a.
SongKick,SOF Q8 Toinha Brasil,Skrillex,BRASILIA,BRASIL,09-08-20,BRL Eventos
AgendaMusic,Sala La Rivera,Karol G,MADRID,ESPAÑA,20-06-18,LetsGo Company
Twelve Carat Tour,Sala La Rivera,Post Malone,MADRID,ESPAÑA,08-07-22,Live Nation
Best Part,Chango Club,Daniel Caesar,MADRID,ESPAÑA,11-08-18,Planet Events
El negrito ojos claros,Teatro Municipal de Valparaiso,Ozuna,VALPARAISO,CHILE,07-07-18,Producciones musicales massivo reccords limitada
Fruta y te,Raley Field,Gepe,SACRAMENTO,ESTADOS UNIDOS,17-04-17,The Imagos
Concha Acústica UC 2022,Club Subterraneo,Pablo Chill-E,SANTIAGO,CHILE,24-10-22,Eventos mudness limitada
AgendaMusic,Sala La Rivera,Farruko,MADRID,ESPAÑA,20-06-18,LetsGo Company
Plastic Hearts,UBS Arena,Miley Cyrus,NUEVA YORK,ESTADOS UNIDOS,23-05-21,Los Angeles AV Production
Get Jacked,Arena TSB Bank,Afrojack,WELLINGTON,NUEVA ZELANDA,16-01-17,Event Management NZ
DJ Snake,Espacio Unimed,DJ Snake,SAO PAULO,BRASIL,15-02-16,Brasil Stands
Rio Concert,Vivo Rio,Taylor Swift,RIO DE JANEIRO,BRASIL,26-02-16,Agencia 360
Disney Concert,Estadio Unico Diego Armando Maradona,Justin Bieber,BUENOS AIRES,ARGENTINA,15-03-16,ATOMIC FILMS
Telepatia,Club Chocolate,Nathy Peluso,SANTIAGO,CHILE,06-04-22,Eventos luis maturana ortega e.i.r.l
Treat you better,Moon Valencia,Shawn Mendes,VALENCIA,ESPAÑA,30-09-19,LetsGo Company
WAR,Shubert Theatre,U2,BOSTON,ESTADOS UNIDOS,10-05-21,Live Nation
Golden,La Marina de Valencia,Harry Styles,VALENCIA,ESPAÑA,23-03-22,LetsGo Company
Papi Juancho,Cirque Royal,Maluma,BRUSELAS,BELGICA,16-07-21,Expat
Rio Concert,Vivo Rio,Justin Bieber,RIO DE JANEIRO,BRASIL,26-02-16,Agencia 360
Treat you better,Moon Valencia,Shawn Mendes,VALENCIA,ESPAÑA,30-09-19,LetsGo Company
Telepatia,Raley Field,Nathy Peluso,SACRAMENTO,ESTADOS UNIDOS,02-03-17,Eveerlast Productions INC.
Concha Acústica UC 2022,Club Subterraneo,Pailita,SANTIAGO,CHILE,24-10-22,Eventos mudness limitada
The After Hours,WIZink Center,The Weeknd,MADRID,ESPAÑA,04-11-21,Planet Events
RBD the comeback,Teatro Municipal de Valparaiso,RBD,VALPARAISO,CHILE,17-02-20,Productora de eventos moviefan limitada
Epic Show,Arena TSB Bank,The Martinez Brothers,WELLINGTON,NUEVA ZELANDA,06-05-18,Queenstown Event Company
Frozen,Teatro Colon,Madonna,BUENOS AIRES,ARGENTINA,09-12-19,FMG PRODUCCIONES
La Gasolina,Estadio Santa Laura,Daddy Yankee,SANTIAGO,CHILE,16-12-16,Global producciones spa
Hips dont lie,Espacio Riesco,Shakira,SANTIAGO,CHILE,22-12-17,Productora energy in motion limitada
Todo Cambia,Fundo Colmito,Mercedes Sosa,VIÑA DEL MAR,CHILE,15-12-21,Comercial caupolican limitada
Heartbreak Weather,SALA SANTANA,Niall Horan,BILBAO,ESPAÑA,16-06-20,LetsGo Company
Super Freaky Girl,Casino de Viña del Mar,Nicki Minaj,VIÑA DEL MAR,CHILE,01-01-22,Glovox producciones limitada
Concha Acústica UC 2022,Club Subterraneo,Jordan 23,SANTIAGO,CHILE,24-10-22,Eventos mudness limitada
El J23,Canadian Tire Centre,Jordan 23,OTTAWA,CANADA,07-10-20,Mayam Producciones
Myrad,Teatro Municipal de Santiago,Nicky Romero,SANTIAGO,CHILE,03-05-16,Universal circus
1989,Jeunesse Arena,Taylor Swift,RIO DE JANEIRO,BRASIL,13-07-18,Somosfk
One Vision of Queen,Teatro Gran Rex,Queen,BUENOS AIRES,ARGENTINA,24-07-20,FMG PRODUCCIONES
Telepatia,Club Chocolate,Nathy Peluso,SANTIAGO,CHILE,06-04-22,Eventos luis maturana ortega e.i.r.l
Sueño Stereo,Shubert Theatre,Soda Stereo,BOSTON,ESTADOS UNIDOS,02-08-20,Eveerlast Productions INC.
Que oso,Youtube Theatre,Snow,LOS ANGELES,ESTADOS UNIDOS,22-05-18,Los Angeles AV Production
The Encounter,Crypto.com Arena,One Direction,LOS ANGELES,ESTADOS UNIDOS,17-04-22,Revelation
Caminemos de la Mano,Quinta Vergara,Pailita,VIÑA DEL MAR,CHILE,21-07-16,Casa eventos
One Night Only,WIZink Center,Bee Gees,MADRID,ESPAÑA,26-09-17,Producciones Baltimore
Twelve Carat Tour,The Anthem,Post Malone,WASHINGTON DC,ESTADOS UNIDOS,29-01-18,AEG
Concha Acústica UC 2022,Club Subterraneo,Paloma Mami,SANTIAGO,CHILE,24-10-22,Eventos mudness limitada
Revelation Magic Everything,Trafalgar Centre Paru,Afrojack,NELSON,NUEVA ZELANDA,04-01-22,Queenstown Event Company
S.U.N.O,The Anthem,Pablo Chill-E,WASHINGTON DC,ESTADOS UNIDOS,16-06-16,Los Angeles AV Production
Voyage,Studio The Venue,ABBA,AUCKLAND,NUEVA ZELANDA,29-05-20,Leading Event Agency
CLARITY,Estadio Nacional,Diplo,SANTIAGO,CHILE,17-08-18,DG Medios y espectaculos s.a.
Todo Cambia,Fundo Colmito,Mercedes Sosa,VIÑA DEL MAR,CHILE,15-12-21,Comercial caupolican limitada
Young Flex,Estadio de Futbol Atanasio Girardot,Khea,MEDELLIN,COLOMBIA,04-09-18,Rocko Saroni Eventos
Watch out for this,Sala But,Major Lazer,MADRID,ESPAÑA,17-12-19,Planet Events
Sin Despertar,Warehouse Live,Kudai,TEXAS,ESTADOS UNIDOS,26-02-20,Hartmann Studios
Ko Ko Pop,Estadio Nacional,EXO,BUENOS AIRES,ARGENTINA,14-01-20,Ramasso Productora
Schulz Forever,La Marina de Valencia,Robin Schulz,VALENCIA,ESPAÑA,22-03-22,Live Nation
Disney Concert,Estadio Unico Diego Armando Maradona,Miley Cyrus,BUENOS AIRES,ARGENTINA,15-03-16,ATOMIC FILMS
Heather,Palau Sant Jordi,Conan Gray,BARCELONA,ESPAÑA,01-03-18,Live Nation
FULL PIOLI,Estadio Rose Bowl,Pablo Chill-E,LOS ANGELES,ESTADOS UNIDOS,13-07-17,Revelation
PlanAhead,Luna Park,Alesso,BUENOS AIRES,ARGENTINA,02-05-21,ESTADIUM LUNA PARK
Born this way,Shubert Theatre,Lady Gaga,BOSTON,ESTADOS UNIDOS,08-05-17,Event Production Company
Gowlding,Salitre Magico,Ellie Gowlding,BOGOTA,COLOMBIA,17-12-22,Audio Level Eventos
Mil Rosas,City Hall el Rodeo,La Oreja de Van Gogh,MEDELLIN,COLOMBIA,03-03-16,Animationphoenix
Get Jacked,Carrer Baix Vinalopo,Afrojack,MISLATA,ESPAÑA,14-02-21,Producciones Baltimore
EQILIBRIO,Festhalle,Polima Westcoast,FRANKFURT,ALEMANIA,14-08-21,Europages
DISCOTEKA,El Huevo,Lola Indigo,VALPARAISO,CHILE,30-09-17,Global producciones spa
Salimo de Noche,Palacio de las Artes,Tiago PZK,VALENCIA,ESPAÑA,30-2-2019,LetsGo Company
Born this way,Shubert Theatre,Lady Gaga,BOSTON,ESTADOS UNIDOS,08-05-17,Event Production Company
Rio Concert,Vivo Rio,Taylor Swift,RIO DE JANEIRO,BRASIL,26-02-16,Agencia 360
DISCOTEKA,Mercedes-Benz Arena,Lola Indigo,BERLIN,ALEMANIA,04-10-16,Bierlinerin
Fourplan Event,Olympiahalle,Cris MJ,MUNICH,ALEMANIA,16-08-16,Yataco
Bang Bang,Warehouse Live,Jessie J,TEXAS,ESTADOS UNIDOS,03-02-21,Los Angeles AV Production
CLARITY,Estadio Nacional,Robin Schulz,SANTIAGO,CHILE,17-08-18,DG Medios y espectaculos s.a.
Mystere,LAUT,Cirque du Solei,BARCELONA,ESPAÑA,10-08-19,IndyRock
Say you wont let go,Antel Arena,James Arthur,BUENOS AIRES,ARGENTINA,08-02-22,PROSPERO PRODUCCIONES
MJ Tribute,Warehouse Live,Michael Jackson,TEXAS,ESTADOS UNIDOS,12-01-16,AEG
Get Jacked,Carrer Baix Vinalopo,Afrojack,MISLATA,ESPAÑA,14-02-21,Producciones Baltimore
RBD the comeback,Teatro Municipal de Valparaiso,RBD,VALPARAISO,CHILE,17-02-20,Productora de eventos moviefan limitada
ShoNuf Lucky,Opera de Sidney,Hardwell,SYDNEY,AUTRALIA,10-02-19,Sydney WorldPride
Perfect Specacular Paradise,Sala Apolo,Alan Walker,BARCELONA,ESPAÑA,26-02-16,Live Nation
El amor despues del amor,Aotea Centre,Fito Paez,AUCKLAND,NUEVA ZELANDA,05-01-21,Lets Dance
One Night Only,WIZink Center,Bee Gees,MADRID,ESPAÑA,26-09-17,Producciones Baltimore
Disney Concert,Estadio Unico Diego Armando Maradona,Jonas Brothers,BUENOS AIRES,ARGENTINA,15-03-16,ATOMIC FILMS
El J23,Canadian Tire Centre,Jordan 23,OTTAWA,CANADA,07-10-20,Mayam Producciones
Fine Line,Estadio Rose Bowl,Harry Styles,LOS ANGELES,ESTADOS UNIDOS,11-08-22,Live Nation
Voyage,Studio The Venue,ABBA,AUCKLAND,NUEVA ZELANDA,29-05-20,Leading Event Agency
Shape of you,Aussie Stadium,Ed Sheeran,SYDNEY,AUTRALIA,20-04-16,Event Hire Sydney
Fourplan Event,Olympiahalle,Beele,MUNICH,ALEMANIA,16-08-16,Yataco
La Gasolina,Estadio Santa Laura,Daddy Yankee,SANTIAGO,CHILE,16-12-16,Global producciones spa
Rio Concert,Vivo Rio,Anuel AA,RIO DE JANEIRO,BRASIL,26-02-16,Agencia 360
El Ultimo Concierto,Gran Arena Monticello,Soda Stereo,SANTIAGO,CHILE,19-07-16,Sony music entertainment chile s.a.
Lali Esposito: The Show,Days Bay Pavilion,Lali Esposito,LOWER HUTT,NUEVA ZELANDA,03-03-21,Leading Event Agency
Map of the Soul,Shubert Theatre,BTS,BOSTON,ESTADOS UNIDOS,21-06-20,The Imagos
DJs Apoyando a Chile,Teatro Teletón,David Guetta,SANTIAGO,CHILE,11-12-16,Andeschimp spa
Sub Focus,Moon Valencia,Coldplay,VALENCIA,ESPAÑA,15-02-16,Ibolele Producciones
Eventage Feasts,Luna Park,Doja Cat,BUENOS AIRES,ARGENTINA,09-06-16,ESTADIUM LUNA PARK
Ye,El Huevo,Kanye West,VALPARAISO,CHILE,08-11-22,G & t business group spa
Show Forest,Radio City Music Hall,One Direction,NUEVA YORK,ESTADOS UNIDOS,11-04-16,Hartmann Studios
Rio Concert,Vivo Rio,Drake,RIO DE JANEIRO,BRASIL,26-02-16,Agencia 360
R3hab live show,Velodromo de Berlin,R3hab,BERLIN,ALEMANIA,19-09-22,KahnEvents GmbH
Heather,Teatro Teletón,Conan Gray,SANTIAGO,CHILE,18-01-21,Eventos luis maturana ortega e.i.r.l